Precision (Folder1),Recall (Folder1),Precision (Folder2),Recall (Folder2),Precision Difference,Recall Difference
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5200,0.5909,0.0000,0.0000,0.5200,0.5909
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6522,0.6522,0.0000,0.0000,0.6522,0.6522
0.5000,0.6923,0.0000,0.0000,0.5000,0.6923
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0556,0.0714,0.0000,0.0000,0.0556,0.0714
0.3333,0.3043,0.0000,0.0000,0.3333,0.3043
0.5000,0.5714,0.0000,0.0000,0.5000,0.5714
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2143,0.3750,0.0000,0.0000,0.2143,0.3750
0.0435,0.0909,0.0000,0.0000,0.0435,0.0909
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5625,0.6923,0.0000,0.0000,0.5625,0.6923
0.5000,0.4706,0.0000,0.0000,0.5000,0.4706
0.6667,0.7059,0.0000,0.0000,0.6667,0.7059
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2778,0.3571,0.0000,0.0000,0.2778,0.3571
0.5789,0.6471,0.0000,0.0000,0.5789,0.6471
0.8333,0.8333,0.0000,0.0000,0.8333,0.8333
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7143,0.6667,0.0000,0.0000,0.7143,0.6667
0.8000,0.9231,0.0000,0.0000,0.8000,0.9231
0.6111,0.7333,0.0000,0.0000,0.6111,0.7333
0.0556,0.0833,0.0000,0.0000,0.0556,0.0833
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6316,0.6000,0.0000,0.0000,0.6316,0.6000
0.1429,0.1429,0.0000,0.0000,0.1429,0.1429
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0588,0.1667,0.0000,0.0000,0.0588,0.1667
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2353,0.2857,0.0000,0.0000,0.2353,0.2857
0.1053,0.2222,0.0000,0.0000,0.1053,0.2222
0.5882,0.7143,0.0000,0.0000,0.5882,0.7143
0.0556,0.0833,0.0000,0.0000,0.0556,0.0833
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0909,0.1667,0.0000,0.0000,0.0909,0.1667
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3125,0.3125,0.0000,0.0000,0.3125,0.3125
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5000,0.6250,0.0000,0.0000,0.5000,0.6250
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5263,0.6667,0.0000,0.0000,0.5263,0.6667
0.2083,0.2632,0.0000,0.0000,0.2083,0.2632
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8333,0.8696,0.0000,0.0000,0.8333,0.8696
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7143,0.7692,0.0000,0.0000,0.7143,0.7692
0.0667,0.1429,0.0000,0.0000,0.0667,0.1429
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0769,0.0526,0.0000,0.0000,0.0769,0.0526
0.4706,0.4444,0.0000,0.0000,0.4706,0.4444
0.4400,0.5000,0.0000,0.0000,0.4400,0.5000
0.1304,0.2000,0.0000,0.0000,0.1304,0.2000
0.2381,0.3125,0.0000,0.0000,0.2381,0.3125
