File1,File2,Timestamp1,Duration1,Timestamp2,Duration2,Time Difference,Duration Difference
parsed_VitalicSEGMENTINO1L.csv,parsed_VitalicQM1L.csv,20.212970522,0.0,20.2,24.4,0.013s,24.400s
parsed_VitalicSEGMENTINO11L.csv,parsed_VitalicQM11L.csv,51.67600907,0.0,48.8,9.8,2.876s,9.800s
parsed_VitalicSEGMENTINO15L.csv,parsed_VitalicQM15L.csv,2.136235828,0.0,0.0,30.6,2.136s,30.600s
parsed_VitalicSEGMENTINO18L.csv,parsed_VitalicQM18L.csv,0.743038549,0.0,0.0,6.4,0.743s,6.400s
parsed_VitalicSEGMENTINO21L.csv,parsed_VitalicQM21L.csv,15.209070295,1.0,14.6,9.8,0.609s,8.800s
parsed_VitalicSEGMENTINO22L.csv,parsed_VitalicQM22L.csv,15.000090703,2.0,15.2,29.6,0.200s,27.600s
parsed_VitalicSEGMENTINO26L.csv,parsed_VitalicQM26L.csv,14.779501134,1.0,12.4,8.4,2.380s,7.400s
parsed_VitalicSEGMENTINO27L.csv,parsed_VitalicQM27L.csv,2.589024943,0.0,0.0,19.2,2.589s,19.200s
parsed_VitalicSEGMENTINO27L.csv,parsed_VitalicQM27L.csv,16.973786848,3.0,19.2,19.2,2.226s,16.200s
parsed_VitalicSEGMENTINO28L.csv,parsed_VitalicQM28L.csv,2.507755102,0.0,0.0,33.0,2.508s,33.000s
parsed_VitalicSEGMENTINO29L.csv,parsed_VitalicQM29L.csv,0.986848073,0.0,0.0,15.8,0.987s,15.800s
parsed_VitalicSEGMENTINO29L.csv,parsed_VitalicQM29L.csv,15.209070295,1.0,15.8,36.6,0.591s,35.600s
parsed_VitalicSEGMENTINO33L.csv,parsed_VitalicQM33L.csv,0.17414966,0.0,0.0,16.4,0.174s,16.400s
parsed_VitalicSEGMENTINO33L.csv,parsed_VitalicQM33L.csv,17.124716553,1.0,16.4,23.0,0.725s,22.000s
parsed_VitalicSEGMENTINO38L.csv,parsed_VitalicQM38L.csv,0.220589569,0.0,0.0,69.4,0.221s,69.400s
parsed_VitalicSEGMENTINO39L.csv,parsed_VitalicQM39L.csv,15.000090703,2.0,14.6,16.6,0.400s,14.600s
parsed_VitalicSEGMENTINO40L.csv,parsed_VitalicQM40L.csv,0.65015873,0.0,0.0,13.0,0.650s,13.000s
parsed_VitalicSEGMENTINO42L.csv,parsed_VitalicQM42L.csv,0.17414966,0.0,0.0,44.0,0.174s,44.000s
parsed_VitalicSEGMENTINO45L.csv,parsed_VitalicQM45L.csv,16.044988662,2.0,13.2,10.6,2.845s,8.600s
parsed_VitalicSEGMENTINO48L.csv,parsed_VitalicQM48L.csv,15.36,1.0,15.0,6.8,0.360s,5.800s
parsed_VitalicSEGMENTINO49L.csv,parsed_VitalicQM49L.csv,15.487709751,1.0,15.4,14.6,0.088s,13.600s
parsed_VitalicSEGMENTINO49L.csv,parsed_VitalicQM49L.csv,30.963809524,0.0,30.0,8.4,0.964s,8.400s
parsed_VitalicSEGMENTINO50L.csv,parsed_VitalicQM50L.csv,1.079727891,0.0,0.0,18.8,1.080s,18.800s
parsed_VitalicSEGMENTINO53L.csv,parsed_VitalicQM53L.csv,15.998548753,1.0,15.0,6.6,0.999s,5.600s
parsed_VitalicSEGMENTINO54L.csv,parsed_VitalicQM54L.csv,1.880816327,0.0,0.0,34.6,1.881s,34.600s
parsed_VitalicSEGMENTINO57L.csv,parsed_VitalicQM57L.csv,1.242267574,0.0,0.0,17.2,1.242s,17.200s
parsed_VitalicSEGMENTINO57L.csv,parsed_VitalicQM57L.csv,16.103038549,1.0,17.2,7.6,1.097s,6.600s
parsed_VitalicSEGMENTINO60L.csv,parsed_VitalicQM60L.csv,15.069750567,2.0,16.4,26.2,1.330s,24.200s
parsed_VitalicSEGMENTINO61L.csv,parsed_VitalicQM61L.csv,1.323537415,0.0,0.0,39.8,1.324s,39.800s
parsed_VitalicSEGMENTINO61L.csv,parsed_VitalicQM61L.csv,61.718639456,1.0,59.0,6.2,2.719s,5.200s
parsed_VitalicSEGMENTINO63L.csv,parsed_VitalicQM63L.csv,1.381587302,0.0,0.0,43.0,1.382s,43.000s
parsed_VitalicSEGMENTINO64L.csv,parsed_VitalicQM64L.csv,0.835918367,0.0,0.0,38.0,0.836s,38.000s
parsed_VitalicSEGMENTINO67L.csv,parsed_VitalicQM67L.csv,20.00399093,1.0,18.4,12.2,1.604s,11.200s
parsed_VitalicSEGMENTINO68L.csv,parsed_VitalicQM68L.csv,2.600634921,0.0,0.0,9.0,2.601s,9.000s
parsed_VitalicSEGMENTINO71L.csv,parsed_VitalicQM71L.csv,0.65015873,0.0,0.0,16.2,0.650s,16.200s
parsed_VitalicSEGMENTINO71L.csv,parsed_VitalicQM71L.csv,14.396371882,1.0,16.2,13.0,1.804s,12.000s
